Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
2/10/2017,2316.1,85.73,53.62,73.28,23.78,71.86,64.73,52.1,51.32,49.29,0.36%,441
2/13/2017,2328.25,85.83,53.62,73.42,24.05,72.3,65.38,52.53,51.55,49.53,0.52%,481
2/14/2017,2337.58,86.32,53.63,73.66,24.33,72.87,65.41,52.52,51.72,49.17,0.40%,451
2/15/2017,2349.25,86.77,54.12,73.37,24.52,73.66,65.76,52.45,51.89,49.05,0.50%,478
2/16/2017,2347.22,86.33,54.19,72.37,24.46,73.56,65.78,52.45,52.01,49.54,-0.09%,237
2/17/2017,2351.16,86.61,54.46,71.97,24.47,73.66,65.89,52.3,52.19,49.57,0.17%,379
2/21/2017,2365.38,87.11,54.95,72.46,24.59,73.99,66.22,52.47,52.46,50.09,0.60%,500
2/22/2017,2362.82,87.11,54.96,71.36,24.61,73.88,66.04,52.61,52.52,50.3,-0.11%,222
2/23/2017,2363.81,86.52,55.09,71.66,24.61,74.42,65.61,52.32,52.51,50.82,0.04%,311
2/24/2017,2367.34,86.92,55.28,70.99,24.42,74.78,65.89,52.43,52.63,51.59,0.15%,367
2/27/2017,2369.75,87.02,55.03,71.6,24.55,75.14,66.13,52.3,52.6,51.3,0.10%,346
2/28/2017,2363.64,86.37,55.1,71.38,24.54,74.99,65.86,52.25,52.35,51.77,-0.26%,152
3/1/2017,2395.96,87.34,55.36,72.81,25.24,75.74,66.97,53.27,53.09,51.31,1.37%,576
3/2/2017,2381.92,87.13,55.35,72.12,24.85,75.5,66.25,52.7,52.74,51.68,-0.59%,88
3/3/2017,2383.12,87,55.14,71.99,24.97,75.8,66.32,52.66,52.86,51.52,0.05%,316
3/6/2017,2375.31,86.72,54.9,72.15,24.78,75.51,66.16,52.32,52.78,51.42,-0.33%,125
3/7/2017,2368.39,86.44,54.83,71.51,24.71,74.98,65.97,52.03,52.78,51.39,-0.29%,141
3/8/2017,2362.98,86.8,54.71,69.65,24.72,75.28,65.74,52.03,52.84,50.65,-0.23%,161
